updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600156,sh.600156,华升股份,C17纺织业,证监会行业分类
2026-06-22,SH600157,sh.600157,永泰能源,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600158,sh.600158,中体产业,R89体育,证监会行业分类
2026-06-22,SH600159,sh.600159,大龙地产,E47房屋建筑业,证监会行业分类
2026-06-22,SH600160,sh.600160,巨化股份,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600161,sh.600161,天坛生物,C27医药制造业,证监会行业分类
2026-06-22,SH600162,sh.600162,香江控股,K70房地产业,证监会行业分类
2026-06-22,SH600163,sh.600163,中闽能源,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600165,sh.600165,ST宁科,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600166,sh.600166,福田汽车,C36汽车制造业,证监会行业分类
2026-06-22,SH600167,sh.600167,联美控股,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600168,sh.600168,武汉控股,D46水的生产和供应业,证监会行业分类
2026-06-22,SH600169,sh.600169,ST太重,C35专用设备制造业,证监会行业分类
2026-06-22,SH600170,sh.600170,上海建工,E48土木工程建筑业,证监会行业分类
2026-06-22,SH600171,sh.600171,上海贝岭,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600172,sh.600172,黄河旋风,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600173,sh.600173,卧龙新能,K70房地产业,证监会行业分类
2026-06-22,SH600175,sh.600175,退市美都,,证监会行业分类
2026-06-22,SH600176,sh.600176,中国巨石,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600177,sh.600177,雅戈尔,C18纺织服装、服饰业,证监会行业分类
2026-06-22,SH600178,sh.600178,东安动力,C36汽车制造业,证监会行业分类
2026-06-22,SH600179,sh.600179,安通控股,G58多式联运和运输代理业,证监会行业分类
2026-06-22,SH600180,sh.600180,*ST瑞茂,F51批发业,证监会行业分类
2026-06-22,SH600181,sh.600181,S*ST云大,,证监会行业分类
2026-06-22,SH600182,sh.600182,S佳通,C29橡胶和塑料制品业,证监会行业分类
2026-06-22,SH600183,sh.600183,生益科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600184,sh.600184,光电股份,C35专用设备制造业,证监会行业分类
2026-06-22,SH600185,sh.600185,珠免集团,L72商务服务业,证监会行业分类
2026-06-22,SH600186,sh.600186,莲花控股,C14食品制造业,证监会行业分类
2026-06-22,SH600187,sh.600187,*ST国中,D46水的生产和供应业,证监会行业分类
2026-06-22,SH600188,sh.600188,兖矿能源,B06煤炭开采和洗选业,证监会行业分类
2026-06-22,SH600189,sh.600189,泉阳泉,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600190,sh.600190,退市锦港,,证监会行业分类
2026-06-22,SH600191,sh.600191,华资实业,C13农副食品加工业,证监会行业分类
2026-06-22,SH600192,sh.600192,长城电工,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600193,sh.600193,退市创兴,E50建筑装饰、装修和其他建筑业,证监会行业分类
2026-06-22,SH600195,sh.600195,中牧股份,C27医药制造业,证监会行业分类
2026-06-22,SH600196,sh.600196,复星医药,C27医药制造业,证监会行业分类
2026-06-22,SH600197,sh.600197,伊力特,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600198,sh.600198,大唐电信,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600199,sh.600199,金种子酒,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600200,sh.600200,退市苏吴,,证监会行业分类
2026-06-22,SH600201,sh.600201,生物股份,C27医药制造业,证监会行业分类
2026-06-22,SH600202,sh.600202,哈空调,C34通用设备制造业,证监会行业分类
2026-06-22,SH600203,sh.600203,福日电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600205,sh.600205,S山东铝,,证监会行业分类
2026-06-22,SH600206,sh.600206,有研新材,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600207,sh.600207,安彩高科,C30非金属矿物制品业,证监会行业分类
2026-06-22,SH600208,sh.600208,衢州发展,K70房地产业,证监会行业分类
2026-06-22,SH600209,sh.600209,退市罗顿,,证监会行业分类
2026-06-22,SH600210,sh.600210,紫江企业,C29橡胶和塑料制品业,证监会行业分类
2026-06-22,SH600211,sh.600211,西藏药业,C27医药制造业,证监会行业分类
2026-06-22,SH600212,sh.600212,绿能慧充,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600213,sh.600213,*ST亚星,,证监会行业分类
2026-06-22,SH600215,sh.600215,派斯林,C34通用设备制造业,证监会行业分类
2026-06-22,SH600216,sh.600216,浙江医药,C27医药制造业,证监会行业分类
2026-06-22,SH600217,sh.600217,中再资环,C42废弃资源综合利用业,证监会行业分类
2026-06-22,SH600218,sh.600218,全柴动力,C34通用设备制造业,证监会行业分类
2026-06-22,SH600219,sh.600219,南山铝业,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600220,sh.600220,ST阳光,,证监会行业分类
2026-06-22,SH600221,sh.600221,海航控股,G56航空运输业,证监会行业分类
2026-06-22,SH600222,sh.600222,太龙药业,C27医药制造业,证监会行业分类
2026-06-22,SH600223,sh.600223,福瑞达,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600225,sh.600225,退市卓朗,,证监会行业分类
2026-06-22,SH600226,sh.600226,亨通股份,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600227,sh.600227,赤天化,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600228,sh.600228,返利科技,I64互联网和相关服务,证监会行业分类
2026-06-22,SH600229,sh.600229,城市传媒,R86新闻和出版业,证监会行业分类
2026-06-22,SH600230,sh.600230,沧州大化,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600231,sh.600231,凌钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600232,sh.600232,金鹰股份,C17纺织业,证监会行业分类
2026-06-22,SH600233,sh.600233,圆通速递,G60邮政业,证监会行业分类
2026-06-22,SH600234,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,证监会行业分类
2026-06-22,SH600235,sh.600235,民丰特纸,C22造纸和纸制品业,证监会行业分类
2026-06-22,SH600236,sh.600236,桂冠电力,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600237,sh.600237,铜峰电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600238,sh.600238,*ST椰岛,C15酒、饮料和精制茶制造业,证监会行业分类
2026-06-22,SH600239,sh.600239,ST云城,K70房地产业,证监会行业分类
2026-06-22,SH600240,sh.600240,退市华业,,证监会行业分类
2026-06-22,SH600241,sh.600241,时代万恒,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600242,sh.600242,退市中昌,,证监会行业分类
2026-06-22,SH600243,sh.600243,*ST海华,C34通用设备制造业,证监会行业分类
2026-06-22,SH600246,sh.600246,万通发展,K70房地产业,证监会行业分类
2026-06-22,SH600247,sh.600247,*ST成城,,证监会行业分类
2026-06-22,SH600248,sh.600248,陕建股份,E48土木工程建筑业,证监会行业分类
2026-06-22,SH600249,sh.600249,两面针,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600250,sh.600250,南京商旅,N78公共设施管理业,证监会行业分类
2026-06-22,SH600251,sh.600251,冠农股份,C13农副食品加工业,证监会行业分类
2026-06-22,SH600252,sh.600252,中恒集团,C27医药制造业,证监会行业分类
2026-06-22,SH600253,sh.600253,天方药业,,证监会行业分类
2026-06-22,SH600255,sh.600255,鑫科材料,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600256,sh.600256,广汇能源,B07石油和天然气开采业,证监会行业分类
2026-06-22,SH600257,sh.600257,大湖股份,A04渔业,证监会行业分类
2026-06-22,SH600258,sh.600258,首旅酒店,H61住宿业,证监会行业分类
2026-06-22,SH600259,sh.600259,中稀有色,B09有色金属矿采选业,证监会行业分类
2026-06-22,SH600260,sh.600260,*ST凯乐,,证监会行业分类
2026-06-22,SH600261,sh.600261,阳光照明,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600262,sh.600262,北方股份,C35专用设备制造业,证监会行业分类
2026-06-22,SH600263,sh.600263,路桥建设,,证监会行业分类
2026-06-22,SH600265,sh.600265,*ST景谷,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类
2026-06-22,SH600266,sh.600266,城建发展,K70房地产业,证监会行业分类
2026-06-22,SH600267,sh.600267,海正药业,C27医药制造业,证监会行业分类
2026-06-22,SH600268,sh.600268,国电南自,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600269,sh.600269,赣粤高速,G54道路运输业,证监会行业分类
2026-06-22,SH600270,sh.600270,外运发展,,证监会行业分类
2026-06-22,SH600271,sh.600271,航天信息,I65软件和信息技术服务业,证监会行业分类
2026-06-22,SH600272,sh.600272,开开实业,F51批发业,证监会行业分类
2026-06-22,SH600273,sh.600273,嘉化能源,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600275,sh.600275,退市昌鱼,,证监会行业分类
2026-06-22,SH600276,sh.600276,恒瑞医药,C27医药制造业,证监会行业分类
2026-06-22,SH600277,sh.600277,ST亿利,,证监会行业分类
2026-06-22,SH600278,sh.600278,东方创业,F51批发业,证监会行业分类
2026-06-22,SH600279,sh.600279,重庆港,G55水上运输业,证监会行业分类
2026-06-22,SH600280,sh.600280,中央商场,F52零售业,证监会行业分类
